year,Base case diesel consumed,Modeled transmission and interties
2021,188006.014475,94003.0072373
2022,189547.04738,94773.52369
2023,190625.770414,95312.885207
2024,192012.700029,96006.3500145
2025,194170.146097,97085.0730483
2026,195711.179002,97855.5895011
2027,197406.315198,98703.1575991
2028,199255.554685,99627.7773425
2029,200796.58759,100398.293795
2030,202491.723787,101245.861893
2031,204186.859983,102093.429991
2032,206036.099469,103018.049735
2033,207577.132375,103788.566187
2034,210196.888314,105098.444157
2035,212046.127801,106023.0639
2036,213895.367287,106947.683644
2037,215590.503484,107795.251742
2038,217593.846261,108796.92313
2039,220059.49891,110029.749455
2040,222679.254849,111339.627424
