year,Base case diesel consumed,Modeled residential energy efficiency
2017,60934.281003,48922.5176499
2018,62202.1903196,50190.4269665
2019,63470.0996361,51458.3362831
2020,65371.963611,53360.2002579
2021,66639.8729276,54628.1095745
2022,67907.7822441,55896.0188911
2023,69175.6915607,57163.9282076
2024,71077.5555356,59065.7921825
2025,72345.4648521,60333.7014991
2026,73613.3741687,61601.6108156
2027,74881.2834853,62869.5201322
2028,76149.1928018,64137.4294488
2029,78051.0567767,66039.2934236
2030,79318.9660933,67307.2027402
2031,80586.8754098,68575.1120568
2032,81854.7847264,69843.0213734
2033,83756.6487013,71744.8853482
2034,85024.5580178,73012.7946648
2035,86292.4673344,74280.7039814
2036,87560.376651,75548.6132979
