year,Base case cost,Modeled water and wastewater efficiency
2017,268383.007095,205885.936325
2018,288349.563646,220343.853476
2019,314018.238499,238992.040197
2020,330541.11805,250934.18431
2021,344732.553494,261170.522019
2022,357025.345833,270018.438251
2023,368501.128344,278271.582358
2024,379662.769465,286298.808811
2025,391699.942296,294973.149852
2026,404591.786723,304279.140934
2027,417104.403065,313311.049774
2028,429223.749819,322058.475738
2029,443061.665483,332071.688276
2030,455171.1561,340820.187907
2031,469633.915785,351300.112086
