year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.06
2004,,1.61,2.06
2006,,1.85,5.43
2008,,3.17,6.3
2009,,3.93,7.25
2010,,2.93,5.17
2011,,3.33,5.8
2012,,3.97,6.45
2013,,3.97,6.76
2014,,,7.08
2016,start of forecast,1.83,4.03
2017,,2.18,4.38
2018,,2.44,4.64
2019,,2.79,4.99
2020,,2.96,5.16
2021,,3.08,5.28
2022,,3.16,5.36
2023,,3.22,5.42
2024,,3.27,5.47
2025,,3.33,5.53
2026,,3.4,5.6
2027,,3.46,5.66
2028,,3.51,5.71
2029,,3.58,5.78
2030,,3.62,5.82
2031,,3.69,5.89
2032,,3.77,5.97
2033,,3.84,6.04
2034,,3.92,6.12
2035,,3.97,6.17
2036,,4.05,6.25
2037,,4.1,6.3
2038,,4.17,6.37
2039,,4.23,6.43
2040,,4.32,6.52
