year,Base case diesel consumed,Modeled residential energy efficiency
2017,120336.335924,76091.8100467
2018,124937.489667,80692.9637894
2019,129538.643409,85294.1175321
2020,134139.797152,89895.2712748
2021,138740.950895,94496.4250175
2022,143342.104637,99097.5787602
2023,148863.489129,104618.963251
2024,154384.87362,110140.347743
2025,158986.027363,114741.501485
2026,164507.411854,120262.885977
2027,170028.796345,125784.270468
2028,175550.180836,131305.654959
2029,181071.565327,136827.03945
2030,186592.949819,142348.423941
2031,192114.33431,147869.808433
