year,Base case cost,Modeled biomass for heat (cordwood)
2017,511010.263921,592660.680224
2018,545214.763921,617951.980922
2019,590820.763921,651673.715187
2020,612587.263921,667768.179268
2021,627098.263921,678497.821988
2022,638499.763921,686928.255555
2023,645755.263921,692293.076915
2024,653010.763921,697657.898275
2025,660266.263921,703022.719636
2026,669594.763921,709920.347099
2027,677886.763921,716051.57151
2028,684105.763921,720649.989819
2029,692397.763921,726781.214231
2030,697580.263921,730613.229488
2031,706908.763921,737510.856952
2032,,
2033,,
2034,,
2035,,
2036,,
