year,Base case cost,"Russian mission -- unnamed creek, 5"
2021,335855.85484,1463377.6842
2022,348970.769375,1469380.23854
2023,358720.682688,1474604.10446
2024,368595.006258,1479952.38063
2025,378593.740083,1485425.06706
2026,390550.454374,1491562.57756
2027,401420.059995,1497259.55758
2028,410553.846324,1502513.87472
2029,421999.589918,1508786.99272
2030,430399.503841,1513954.01564
2031,442713.897619,1520449.20563
2032,456141.31887,1527410.84488
2033,468400.912892,1533851.23511
2034,481775.015462,1540759.55568
2035,491710.803622,1546815.87465
2036,505358.904971,1553998.194
2037,515138.439774,1559898.25961
2038,529053.134529,1567347.17237
2039,539666.514265,1573434.50471
2040,554873.446506,1581529.07676
2041,558479.122331,1585134.75258
2042,562084.798157,1588740.42841
2043,565690.473983,1592346.10423
2044,569296.149808,1595951.78006
2045,572501.194987,1599156.82524
2046,575706.240165,1602361.87042
2047,579311.915991,1605967.54624
2048,582116.330522,1608771.96077
2049,585321.3757,1611977.00595
2050,588526.420878,1615182.05113
