year,Base case diesel consumed,Modeled residential ashp
2017,8895.19655507,-47296.3870643
2018,8895.19655507,-47296.3870643
2019,8994.92701632,-47196.6566031
2020,9094.65747758,-47096.9261418
2021,8994.92701632,-47196.6566031
2022,9094.65747758,-47096.9261418
2023,9094.65747758,-47096.9261418
2024,9094.65747758,-47096.9261418
2025,9094.65747758,-47096.9261418
2026,9094.65747758,-47096.9261418
2027,9194.38793883,-46997.1956806
2028,9194.38793883,-46997.1956806
2029,9194.38793883,-46997.1956806
2030,9194.38793883,-46997.1956806
2031,9194.38793883,-46997.1956806
