year,Base case diesel consumed,Modeled transmission and interties
2021,293590.258892,146795.129446
2022,293590.258892,146795.129446
2023,293590.258892,146795.129446
2024,293797.88991,146898.944955
2025,293797.88991,146898.944955
2026,293797.88991,146898.944955
2027,294005.520928,147002.760464
2028,294005.520928,147002.760464
2029,294005.520928,147002.760464
2030,294005.520928,147002.760464
2031,294005.520928,147002.760464
2032,294005.520928,147002.760464
2033,293797.88991,146898.944955
2034,293797.88991,146898.944955
2035,293382.627875,146691.313937
2036,293590.258892,146795.129446
2037,293797.88991,146898.944955
2038,293797.88991,146898.944955
2039,294005.520928,147002.760464
2040,294213.151945,147106.575973
