year,Base case diesel consumed,Modeled wind power
2019,146691.313937,104948.758896
2020,146795.129446,105052.574405
2021,146795.129446,105052.574405
2022,146795.129446,105052.574405
2023,146795.129446,105052.574405
2024,146898.944955,105156.389914
2025,146898.944955,105156.389914
2026,146898.944955,105156.389914
2027,147002.760464,105260.205423
2028,147002.760464,105260.205423
2029,147002.760464,105260.205423
2030,147002.760464,105260.205423
2031,147002.760464,105260.205423
2032,147002.760464,105260.205423
2033,146898.944955,105156.389914
2034,146898.944955,105156.389914
2035,146691.313937,104948.758896
2036,146795.129446,105052.574405
2037,146898.944955,105156.389914
2038,146898.944955,105156.389914
