year,Base case cost,Modeled solar power (pv)
2016,476071.969489,485315.1806
2017,552243.484608,560066.522155
2018,606872.243495,613623.715954
2019,682114.609809,687515.992443
2020,716360.231698,721029.114538
2021,741315.403704,745392.670432
2022,758930.819237,762533.223342
2023,770674.429593,773895.314731
2024,781502.387161,784371.385543
2025,793254.302757,795759.679734
2026,807944.197253,810054.342353
2027,820275.403388,822039.551014
2028,830565.596621,832011.974492
2029,843795.845063,844892.935519
2030,852616.01069,853430.766649
2031,867316.286737,867778.399431
2032,882016.562783,882134.335849
2033,896083.564226,895865.130304
2034,910773.458721,910226.783111
2035,919754.538388,918943.732677
