year,Base case cost,Modeled wind power
2019,682114.609809,787889.753064
2020,716360.231698,808757.742806
2021,741315.403704,822555.462995
2022,758930.819237,830881.527827
2023,770674.429593,834851.878368
2024,781502.387161,838372.439433
2025,793254.302757,842581.802651
2026,807944.197253,849142.175588
2027,820275.403388,854150.849461
2028,830565.596621,857573.809844
2029,843795.845063,863342.211598
2030,852616.01069,865849.19595
2031,867316.286737,872938.590373
2032,882016.562783,880124.53467
2033,896083.564226,886771.491245
2034,910773.458721,894133.418193
2035,919754.538388,896923.874987
2036,936552.925867,906222.883665
2037,946029.205511,910031.247505
2038,962188.089456,918860.249885
