year,Base case cost,Modeled residential energy efficiency
2017,732699.581128,752980.205009
2018,781607.859429,799402.926693
2019,857091.310545,871864.857493
2020,896139.424401,909033.610548
2021,910466.283887,921743.422108
2022,935199.620322,945081.527638
2023,945974.846783,954642.856747
2024,955403.169936,962918.20761
2025,966178.396397,972520.958764
2026,979647.429473,984757.565406
2027,999657.188301,1003634.35213
2028,1009173.21427,1012076.43438
2029,1021408.10481,1023176.05752
2030,1029564.6985,1030335.46619
2031,1043159.02131,1042790.48105
