year,Base case cost,Modeled residential energy efficiency
2017,254128.758603,267410.210772
2018,275933.176931,287038.772163
2019,297565.487959,305769.940607
2020,308381.643473,315135.524829
2021,315592.413815,321379.247644
2022,321601.389101,326582.34999
2023,325206.774272,329704.211397
2024,328211.261915,332305.76257
2025,325260.112277,328790.501874
2026,329963.011694,332848.702939
2027,333490.186256,335892.353737
2028,337017.360818,338936.004536
2029,333623.01773,334977.55039
2030,328360.806548,329392.990032
2031,325189.343045,325576.828177
2032,337911.274358,337573.473844
2033,342405.61215,341423.113285
2034,347461.742167,345753.957655
2035,358340.592729,356229.871748
2036,355326.833304,352490.826677
