year,Base case cost,Modeled non-residential energy efficiency
2017,55740.7527221,65281.3536807
2018,59634.2327829,69043.4715136
2019,64825.5395307,74059.6286241
2020,67421.1929045,76567.7071794
2021,69151.6284871,78239.7595495
2022,70593.6581393,79633.1365247
2023,71458.8759306,80469.1627098
2024,72179.8907566,81165.8511973
2025,73189.3115131,82141.2150799
2026,74342.9352349,83255.91666
2027,75208.1530262,84091.9428451
2028,76073.3708174,84927.9690302
2029,77082.791574,85903.3329128
2030,77659.6034348,86460.6837029
2031,78813.2271565,87575.385283
