year,Base case diesel consumed,Koyuk wind phase ii feasibility,Modeled wind power
2019,92530.7731894,72585.1586747,65604.1935946
2020,92246.5004607,72300.885946,65319.9208659
2021,92033.2959142,72087.6813995,65106.7163194
2022,91820.0913677,71874.476853,64893.5117728
2023,91606.8868212,71661.2723065,64680.3072263
2024,91464.7504568,71519.1359421,64538.170862
2025,91251.5459103,71305.9313956,64324.9663155
2026,91109.409546,71163.7950313,64182.8299511
2027,90967.2731816,71021.6586669,64040.6935868
2028,90825.1368173,70879.5223026,63898.5572224
2029,90611.9322708,70666.317756,63685.3526759
2030,90469.7959064,70524.1813917,63543.2163115
2031,90398.7277242,70453.1132095,63472.1481294
2032,90398.7277242,70453.1132095,63472.1481294
2033,90398.7277242,70453.1132095,63472.1481294
2034,90469.7959064,70524.1813917,63543.2163115
2035,90469.7959064,70524.1813917,63543.2163115
2036,90540.8640886,70595.2495739,63614.2844937
2037,90611.9322708,70666.317756,63685.3526759
2038,90683.0004529,70737.3859382,63756.4208581
