year,Base case cost,Modeled solar power (pv)
2016,164911.584687,177547.620978
2017,195210.082793,206977.890333
2018,217948.347679,228998.99993
2019,248907.77988,259105.43048
2020,263824.991318,273467.106172
2021,273338.888865,282535.447591
2022,280051.278671,288860.852928
2023,284897.418014,293361.063427
2024,288113.963939,296271.774223
2025,292917.462372,300745.040406
2026,298838.863311,306328.167173
2027,303830.692427,311005.155877
2028,307897.213811,314779.727229
2029,312611.166334,319193.318324
2030,315739.587713,322058.964174
2031,321819.470698,327837.076143
2032,328147.381639,333870.218892
2033,334475.29258,339910.213984
2034,341975.828526,347114.760792
2035,346499.318322,351393.039864
