year,Base case diesel consumed,Modeled diesel efficiency
2019,92530.7731894,84118.8847177
2020,92246.5004607,83860.4549643
2021,92033.2959142,83666.6326493
2022,91820.0913677,83472.8103343
2023,91606.8868212,83278.9880193
2024,91464.7504568,83149.7731426
2025,91251.5459103,82955.9508276
2026,91109.409546,82826.7359509
2027,90967.2731816,82697.5210742
2028,90825.1368173,82568.3061975
2029,90611.9322708,82374.4838825
2030,90469.7959064,82245.2690058
2031,90398.7277242,82180.6615675
2032,90398.7277242,82180.6615675
2033,90398.7277242,82180.6615675
2034,90469.7959064,82245.2690058
2035,90469.7959064,82245.2690058
2036,90540.8640886,82309.8764442
2037,90611.9322708,82374.4838825
2038,90683.0004529,82439.0913208
