year,Base case diesel consumed,Modeled solar power (pv)
2016,93170.386829,91462.6565983
2017,92957.1822825,91263.1138937
2018,92743.9777359,91063.4618943
2019,92530.7731894,90863.7014745
2020,92246.5004607,90592.7653195
2021,92033.2959142,90392.7906541
2022,91820.0913677,90192.7101497
2023,91606.8868212,89992.5246529
2024,91464.7504568,89863.3031859
2025,91251.5459103,89662.9102175
2026,91109.409546,89533.4829387
2027,90967.2731816,89403.9539873
2028,90825.1368173,89274.3241765
2029,90611.9322708,89073.5261311
2030,90469.7959064,88943.6970158
2031,90398.7277242,88884.8376248
2032,90398.7277242,88896.9487456
2033,90398.7277242,88908.9629774
2034,90469.7959064,88991.9492776
2035,90469.7959064,89003.7720506
