year,Base case cost,Koyuk wind phase ii feasibility,Modeled wind power
2019,248907.77988,448662.974114,457056.664343
2020,263824.991318,455720.310534,462645.154923
2021,273338.888865,458511.797829,464335.859584
2022,280051.278671,459125.987123,464038.394473
2023,284897.418014,458325.295712,462455.370669
2024,288113.963939,456343.778617,459820.604149
2025,292917.462372,455714.738594,458428.91847
2026,298838.863311,456136.819723,458038.291182
2027,303830.692427,455900.475448,457058.075985
2028,307897.213811,455007.603344,455489.953044
2029,312611.166334,454688.280198,454444.663959
2030,315739.587713,453217.813467,452375.993169
2031,321819.470698,454280.114164,452669.842006
2032,328147.381639,455680.123004,453309.63778
2033,334475.29258,457167.710097,454045.0575
2034,341975.828526,459743.272346,455816.748062
2035,346499.318322,459935.836213,455391.797534
2036,353109.369945,461956.174447,456682.991629
2037,357917.132469,462594.226664,456718.340106
2038,364545.661821,464790.479765,458199.912599
