year,Base case diesel consumed,Modeled residential ashp
2017,112034.863838,8205.59906424
2018,112034.863838,8205.59906424
2019,113375.618505,9546.3537309
2020,113375.618505,9546.3537309
2021,114716.373172,10887.1083976
2022,114716.373172,10887.1083976
2023,116057.127838,12227.8630642
2024,116057.127838,12227.8630642
2025,117397.882505,13568.6177309
2026,117397.882505,13568.6177309
2027,118738.637172,14909.3723976
2028,118738.637172,14909.3723976
2029,118738.637172,14909.3723976
2030,120079.391838,16250.1270642
2031,120079.391838,16250.1270642
