year,Base case diesel consumed,Modeled residential ashp
2017,10810.5358345,-45536.010318
2018,10810.5358345,-45536.010318
2019,10471.3978726,-45875.1482799
2020,10471.3978726,-45875.1482799
2021,10132.2599107,-46214.2862418
2022,10132.2599107,-46214.2862418
2023,9793.12194872,-46553.4242038
2024,9793.12194872,-46553.4242038
2025,9453.98398678,-46892.5621657
2026,9453.98398678,-46892.5621657
2027,9114.84602484,-47231.7001277
2028,9114.84602484,-47231.7001277
2029,8775.7080629,-47570.8380896
2030,8775.7080629,-47570.8380896
2031,8436.57010096,-47909.9760515
