year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,45718.8445322,33831.9449538
2018,45718.8445322,33831.9449538
2019,45718.8445322,33831.9449538
2020,45718.8445322,33831.9449538
2021,45718.8445322,33831.9449538
2022,45718.8445322,33831.9449538
2023,45718.8445322,33831.9449538
2024,45718.8445322,33831.9449538
2025,45718.8445322,33831.9449538
2026,45718.8445322,33831.9449538
2027,45718.8445322,33831.9449538
2028,45718.8445322,33831.9449538
2029,45718.8445322,33831.9449538
2030,45718.8445322,33831.9449538
2031,45718.8445322,33831.9449538
