year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,232046.62,21427.24,211732.3,141332.25
2018,232360.35,21826.07,211732.3,144806.48
2019,234524.08,22231.33,211732.3,149149.27
2020,236557.55,22641.83,211732.3,153492.05
2021,238109.91,23058.82,211732.3,156966.28
2022,240050.79,23485.08,211732.3,161309.07
2023,241966.1,23922.59,211732.3,165651.85
2024,243890.74,24370.45,211732.3,169994.64
2025,245963.82,24825.5,211732.3,174337.42
2026,247934.83,25286.83,211732.3,178680.21
2027,249973.13,25753.64,211732.3,183022.99
2028,252024.95,26228.23,211732.3,188234.34
2029,254215.82,26717.7,211732.3,192577.12
2030,256406.91,27215.51,211732.3,197788.46
2031,258600.23,27721.44,211732.3,202131.25
2032,260791.99,,,207342.59
2033,263130.18,,,212553.93
2034,265395.63,,,217765.28
2035,267806.91,,,222976.62
2036,270218.29,,,228187.96
