year,Base case cost,Modeled diesel efficiency
2019,1446760.44122,1662319.62789
2020,1548372.37856,1746559.3618
2021,1616113.67012,1800198.25773
2022,1674177.63432,1845225.77309
2023,1708048.2801,1868441.18892
2024,1741918.92588,1891834.16873
2025,1775789.57166,1915400.5513
2026,1819337.54481,1947933.84308
2027,1858046.85427,1976233.71933
2028,1891917.50005,2000296.30392
2029,1935465.4732,2033314.16818
2030,1959658.79162,2048890.90397
2031,2008045.42845,2086611.96879
2032,2051593.40159,2120081.12621
2033,2099980.03842,2158092.50397
2034,2148366.67525,2196243.95557
2035,2182237.32103,2221335.84204
2036,2235462.62155,2264156.45393
2037,2264494.60364,2285113.59352
2038,2317719.90416,2328192.05532
