year,Base case cost,Modeled wind power
2019,1446760.44122,1467327.1307
2020,1548372.37856,1518664.56128
2021,1616113.67012,1549238.3092
2022,1674177.63432,1574070.34837
2023,1708048.2801,1584137.29146
2024,1741918.92588,1594461.41085
2025,1775789.57166,1605036.67963
2026,1819337.54481,1621868.59014
2027,1858046.85427,1635934.32602
2028,1891917.50005,1647228.27325
2029,1935465.4732,1664762.01846
2030,1959658.79162,1670496.07194
2031,2008045.42845,1691476.40895
2032,2051593.40159,1709663.78848
2033,2099980.03842,1731064.60273
2034,2148366.67525,1752668.29412
2035,2182237.32103,1765453.03957
2036,2235462.62155,1790454.02024
2037,2264494.60364,1800615.49866
2038,2317719.90416,1825989.93847
