year,Base case cost,Modeled solar power (pv)
2016,880636.790306,925009.646722
2017,1079022.00131,1119392.94031
2018,1233859.23917,1270932.85113
2019,1446760.44122,1479765.438
2020,1548372.37856,1578969.49389
2021,1616113.67012,1644830.06453
2022,1674177.63432,1701188.85426
2023,1708048.2801,1733727.74463
2024,1741918.92588,1766297.41124
2025,1775789.57166,1798897.1945
2026,1819337.54481,1841072.37403
2027,1858046.85427,1878505.00857
2028,1891917.50005,1911192.89151
2029,1935465.4732,1953457.43507
2030,1959658.79162,1976650.88924
2031,2008045.42845,2023746.48254
2032,2051593.40159,2066094.92685
2033,2099980.03842,2113247.23983
2034,2148366.67525,2160427.2966
2035,2182237.32103,2193301.90022
