year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,1549604.01666,1146706.97233
2018,1549604.01666,1146706.97233
2019,1549604.01666,1146706.97233
2020,1549604.01666,1146706.97233
2021,1549604.01666,1146706.97233
2022,1549604.01666,1146706.97233
2023,1549604.01666,1146706.97233
2024,1549604.01666,1146706.97233
2025,1549604.01666,1146706.97233
2026,1549604.01666,1146706.97233
2027,1549604.01666,1146706.97233
2028,1549604.01666,1146706.97233
2029,1549604.01666,1146706.97233
2030,1549604.01666,1146706.97233
2031,1549604.01666,1146706.97233
