year,Base case cost,Modeled residential energy efficiency
2017,11124524.2677,11209123.8925
2018,11720380.0895,11649360.7926
2019,12623440.2708,12352344.5248
2020,13015349.0784,12628487.9871
2021,13301077.3142,12827052.0934
2022,13485727.3673,12939198.5905
2023,13568426.6647,12960556.8834
2024,13621984.41,12960438.5549
2025,13720112.7199,13002097.031
2026,13814056.0913,13029799.2389
2027,13898116.0064,13055234.6103
2028,13935140.8349,13041236.1588
2029,14131552.9436,13176807.5846
2030,14210109.0976,13212536.8851
2031,14354247.3617,13293559.7432
