year,Base case diesel consumed,Modeled residential energy efficiency
2017,1856115.90237,1508042.40877
2018,1846658.54766,1498585.05406
2019,1849360.64901,1501287.15541
2020,1841254.34497,1493180.85137
2021,1839903.2943,1491829.8007
2022,1834499.09161,1486425.59801
2023,1822339.63555,1474266.14195
2024,1811531.23017,1463457.73657
2025,1804775.9768,1456702.4832
2026,1789914.4194,1441840.9258
2027,1779106.01401,1431032.52042
2028,1766946.55796,1418873.06436
2029,1769648.6593,1421575.16571
2030,1768297.60863,1420224.11503
2031,1761542.35527,1413468.86167
