year,Base case cost,Modeled non-residential energy efficiency
2017,529812.635313,546362.920514
2018,567733.468656,580598.46163
2019,618926.593671,627261.146849
2020,642627.11451,648266.961172
2021,658743.468682,662214.116433
2022,671067.739518,672644.627004
2023,679599.927021,679557.883659
2024,686236.072856,684724.61056
2025,694768.260358,691686.864934
2026,704248.468694,699558.419841
2027,712780.656197,706567.402076
2028,719416.802032,711827.611
2029,728897.010368,719766.815955
2030,734585.135369,724184.884041
2031,744065.343705,732166.587745
