year,Base case cost,Modeled solar power
2020,199441.666667,199854.881634
2021,206340.0,206685.453722
2022,211743.333333,212032.204548
2023,215170.833333,215414.039546
2024,217836.666667,218040.082224
2025,221748.333333,221908.198879
2026,225565.0,225680.003556
2027,229500.0,229573.536392
2028,232683.333333,232721.036805
2029,236516.666667,236512.544645
2030,239335.833333,239300.002672
2031,243705.0,243629.23986
2032,247940.0,247823.020838
2033,252720.833333,252563.605955
2034,256965.0,256768.475469
2035,260226.666667,260000.539689
2036,264480.0,264216.350313
2037,267762.5,267470.845774
2038,272412.5,272082.887042
2039,276105.0,275746.807919
