year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,37833.33,10355.28,70816.98,51138.29
2018,37833.33,10348.64,70816.98,52158.96
2019,37916.67,10342.12,70816.98,52158.96
2020,37916.67,10334.3,70816.98,52158.96
2021,38000.0,10327.41,70816.98,53179.64
2022,38083.33,10320.36,70816.98,53179.64
2023,38083.33,10315.02,70816.98,54200.31
2024,38083.33,10309.47,70816.98,54200.31
2025,38166.67,10303.47,70816.98,54200.31
2026,38166.67,10296.11,70816.98,55220.98
2027,38250.0,10288.67,70816.98,55220.98
2028,38333.33,10280.13,70816.98,56241.66
2029,38333.33,10271.63,70816.98,56241.66
2030,38416.67,10264.36,70816.98,57262.33
2031,38500.0,10257.12,70816.98,57262.33
2032,38500.0,10249.85,70816.98,58283.0
2033,38583.33,10242.72,70816.98,58283.0
2034,38583.33,10235.84,70816.98,59303.68
2035,38666.67,10229.81,70816.98,59303.68
2036,38666.67,10223.52,70816.98,60324.35
2037,38750.0,10217.78,70816.98,60324.35
2038,38750.0,10212.38,70816.98,60324.35
2039,38833.33,10206.54,70816.98,61345.03
2040,38833.33,10201.82,70816.98,61345.03
