year,Base case diesel consumed,Modeled diesel efficiency
2019,37916.6666667,34469.6969697
2020,37916.6666667,34469.6969697
2021,38000.0,34545.4545455
2022,38083.3333333,34621.2121212
2023,38083.3333333,34621.2121212
2024,38083.3333333,34621.2121212
2025,38166.6666667,34696.969697
2026,38166.6666667,34696.969697
2027,38250.0,34772.7272727
2028,38333.3333333,34848.4848485
2029,38333.3333333,34848.4848485
2030,38416.6666667,34924.2424242
2031,38500.0,35000.0
2032,38500.0,35000.0
2033,38583.3333333,35075.7575758
2034,38583.3333333,35075.7575758
2035,38666.6666667,35151.5151515
2036,38666.6666667,35151.5151515
2037,38750.0,35227.2727273
2038,38750.0,35227.2727273
