year,Base case diesel consumed,Modeled solar power
2020,37916.6666667,37669.5418736
2021,38000.0,37754.8522053
2022,38083.3333333,37840.1467209
2023,38083.3333333,37842.0922138
2024,38083.3333333,37844.0221428
2025,38166.6666667,37929.2699657
2026,38166.6666667,37931.1691393
2027,38250.0,38016.3864528
2028,38333.3333333,38101.5886945
2029,38333.3333333,38103.4426516
2030,38416.6666667,38188.6151104
2031,38500.0,38273.7728562
2032,38500.0,38275.5826734
2033,38583.3333333,38360.7113453
2034,38583.3333333,38362.4923212
2035,38666.6666667,38447.5923826
2036,38666.6666667,38449.3449769
2037,38750.0,38534.4168838
2038,38750.0,38536.1415487
2039,38833.3333333,38621.1857496
