year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10355.2828263,6730.93383711
2018,10348.6380428,6726.61472782
2019,10342.1164465,6722.37569021
2020,10334.3017176,6717.29611644
2021,10327.4132232,6712.81859509
2022,10320.3569279,6708.23200314
2023,10315.0172627,6704.76122076
2024,10309.4651828,6701.15236884
2025,10303.4729585,6697.25742301
2026,10296.1116916,6692.47259956
2027,10288.6698537,6687.63540491
2028,10280.1333145,6682.08665443
2029,10271.6340644,6676.56214186
2030,10264.3553663,6671.83098808
2031,10257.1219478,6667.12926604
