year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,94040.0,80322.7065079
2018,94040.0,80322.7065079
2019,94040.0,80322.7065079
2020,94040.0,80322.7065079
2021,94040.0,80322.7065079
2022,94040.0,80322.7065079
2023,94040.0,80322.7065079
2024,94040.0,80322.7065079
2025,94040.0,80322.7065079
2026,94040.0,80322.7065079
2027,94041.0,80323.7065079
2028,94041.0,80323.7065079
2029,94040.0,80322.7065079
2030,94040.0,80322.7065079
2031,94039.0,80321.7065079
2032,94040.0,80322.7065079
2033,94040.0,80322.7065079
2034,94040.0,80322.7065079
2035,94040.0,80322.7065079
2036,94040.0,80322.7065079
