year,Base case cost,Modeled biomass for heat (pellet)
2017,271075.981445,293194.787016
2018,296466.781445,314495.589502
2019,331261.581445,343837.717208
2020,349129.181445,358730.600093
2021,360413.981445,368009.528634
2022,369817.981445,375690.435769
2023,375460.381445,380166.669726
2024,381102.781445,384650.945754
2025,386745.181445,389143.07537
2026,394268.381445,395249.328636
2027,400855.444006,400564.107158
2028,406497.904006,405078.770279
2029,413076.381445,410399.420699
2030,417778.381445,414124.914937
2031,425297.058885,420262.379709
2032,432824.781445,426415.541847
2033,441288.381445,433373.904827
2034,449751.981445,440338.611883
2035,455394.381445,444899.83313
2036,463857.981445,451876.785756
