year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8625.94850195,5606.86652627
2018,8626.22019434,5607.04312632
2019,8625.99347264,5606.89575722
2020,8626.17709186,5607.01510971
2021,8626.23086988,5607.05006542
2022,8626.39260425,5607.15519276
2023,8626.32081127,5607.10852732
2024,8626.34950177,5607.12717615
2025,8626.34376367,5607.12344639
2026,8626.45719124,5607.19717431
2027,8626.67964273,5607.34176777
2028,8626.85965895,5607.45877832
2029,8626.28491478,5607.08519461
2030,8625.64745183,5606.67084369
2031,8625.37415811,5606.49320277
