year,Base case cost,Modeled water and wastewater efficiency
2017,54072.1603398,43861.9061643
2018,56688.4148223,45455.3076152
2019,60268.0612365,47688.3318806
2020,62109.1943963,48775.7077295
2021,63271.4250036,49417.3694111
2022,64241.1692701,49934.8394552
2023,64821.279915,50197.575321
2024,65402.4318453,50463.8792612
2025,65983.225076,50732.6887059
2026,66758.9028516,51133.0550009
2027,67438.9603481,51472.9171913
2028,68021.7820055,51751.0657489
2029,68693.2333256,52089.8997406
2030,69170.2976175,52302.6827982
2031,69941.6828898,52712.5677751
