year,Base case diesel consumed,Modeled non-residential ashp
2017,43903.8476784,37893.8017204
2018,43903.8476784,37893.8017204
2019,43903.8476784,37893.8017204
2020,43903.8476784,37893.8017204
2021,43903.8476784,37893.8017204
2022,43903.8476784,37893.8017204
2023,42429.8464209,36419.8004629
2024,42429.8464209,36419.8004629
2025,42429.8464209,36419.8004629
2026,42429.8464209,36419.8004629
2027,42429.8464209,36419.8004629
2028,42429.8464209,36419.8004629
2029,42429.8464209,36419.8004629
2030,42429.8464209,36419.8004629
2031,42429.8464209,36419.8004629
