year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,54645.6754622,40437.799842
2018,54645.6754622,40437.799842
2019,54645.6754622,40437.799842
2020,54645.6754622,40437.799842
2021,54645.6754622,40437.799842
2022,54645.6754622,40437.799842
2023,54645.6754622,40437.799842
2024,54645.6754622,40437.799842
2025,54645.6754622,40437.799842
2026,54645.6754622,40437.799842
2027,54645.6754622,40437.799842
2028,54645.6754622,40437.799842
2029,54645.6754622,40437.799842
2030,54645.6754622,40437.799842
2031,54645.6754622,40437.799842
