year,Base case cost,Modeled biomass for heat (cordwood)
2017,423511.541322,556167.497306
2018,463180.481322,582932.1611
2019,517541.621322,620620.621654
2020,545456.801322,638813.30616
2021,563087.441322,649458.82997
2022,577779.641322,657987.662986
2023,586594.961322,662225.765994
2024,595410.281322,666517.308254
2025,604225.601322,670861.03728
2026,615979.361322,677428.455839
2027,626263.901322,682959.28064
2028,635079.221322,687452.34521
2029,645363.761322,693079.236305
2030,652709.861322,696579.752674
2031,664463.621322,703384.622689
2032,,
2033,,
2034,,
2035,,
2036,,
