year,Base case cost,Modeled non-residential energy efficiency
2017,1088147.03813,1001091.01489
2018,1148648.10632,1054165.97956
2019,1231556.97756,1127689.79299
2020,1274131.80332,1164536.46434
2021,1301021.16697,1187146.83535
2022,1323428.97,1205720.72581
2023,1336873.65182,1216176.7585
2024,1350318.33365,1226674.62747
2025,1363763.01547,1237213.35218
2026,1381689.2579,1251872.32412
2027,1397374.72002,1264530.08461
2028,1410819.40184,1275185.72044
2029,1426504.86397,1287918.68888
2030,1437708.76549,1296607.59545
2031,1455635.00791,1311452.4623
