year,Base case cost,Modeled biomass for heat (pellet)
2017,423511.541322,493878.056838
2018,463180.481322,520932.437708
2019,517541.621322,558496.740375
2020,545456.801322,577224.118746
2021,563087.441322,588642.755363
2022,577779.641322,597992.384913
2023,586594.961322,603176.216641
2024,595410.281322,608385.938177
2025,604225.601322,613620.942725
2026,615979.361322,620976.792206
2027,626263.901322,627308.676207
2028,635079.221322,632616.029606
2029,645363.761322,638994.455012
2030,652709.861322,643299.181759
2031,664463.621322,650770.069759
2032,,
2033,,
2034,,
2035,,
2036,,
