year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,146922.0,104807.724655
2018,146922.0,104807.724655
2019,146922.0,104807.724655
2020,146922.0,104807.724655
2021,146922.0,104807.724655
2022,146922.0,104807.724655
2023,146922.0,104807.724655
2024,146922.0,104807.724655
2025,146922.0,104807.724655
2026,146922.0,104807.724655
2027,146922.0,104807.724655
2028,146922.0,104807.724655
2029,146922.0,104807.724655
2030,146922.0,104807.724655
2031,146922.0,104807.724655
2032,,
2033,,
2034,,
2035,,
2036,,
