year,Base case diesel consumed,Modeled residential ashp
2017,60682.4386368,17034.6554312
2018,60682.4386368,17034.6554312
2019,58735.4567387,15087.673533
2020,58735.4567387,15087.673533
2021,58735.4567387,15087.673533
2022,58735.4567387,15087.673533
2023,56788.4748405,13140.6916349
2024,56788.4748405,13140.6916349
2025,54841.4929424,11193.7097367
2026,54841.4929424,11193.7097367
2027,54841.4929424,11193.7097367
2028,52894.5110442,9246.72783854
2029,52894.5110442,9246.72783854
2030,50947.529146,7299.74594039
2031,50947.529146,7299.74594039
