year,Base case diesel consumed,Modeled solar power (pv)
2016,55144.6894069,54510.4310529
2017,55144.6894069,54515.5051197
2018,55144.6894069,54520.538594
2019,55144.6894069,54525.5318005
2020,55144.6894069,54530.4850613
2021,55144.6894069,54535.3986961
2022,55144.6894069,54540.2730218
2023,55144.6894069,54545.1083529
2024,55144.6894069,54549.9050013
2025,55144.6894069,54554.6632766
2026,55144.6894069,54559.3834856
2027,55144.6894069,54564.065933
2028,55144.6894069,54568.7109208
2029,55144.6894069,54573.3187486
2030,55144.6894069,54577.8897139
2031,55144.6894069,54582.4241115
2032,55144.6894069,54586.9222338
2033,55144.6894069,54591.3843712
2034,55144.6894069,54595.8108115
2035,55144.6894069,54600.2018403
