year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25', 135.24') -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2021,181977.475043,4545135.86484,10390945.211,18565968.3929,607793.892165,1389330.63077,87526084.5788,16077041.1995,766474.90899,1733767.34702,34654939.0956,4308047.18307,1709053.94182,1150595.15456,13424540.052,30179045.9192,5028206.84005,22773343.5466,3251075.92656,6292774.18221,4513498.19251,,,6770625.60913
2022,188043.390877,4541694.7015,10384786.7255,18551605.2763,604402.102035,1388313.24335,87436913.5635,16044125.7241,764850.08143,1732854.58795,34636617.1451,4295120.37817,1708198.23019,1149790.22157,13411673.0934,30147626.6017,5024265.36148,22755088.3651,3240807.387,6289921.81011,4510645.82041,,,6759524.11696
2023,192454.96603,4539192.03725,10380307.827,18541159.3734,601935.345578,1387573.32522,87372061.916,16020187.1965,763668.388658,1732190.76317,34623292.0901,4285719.06551,1707575.89446,1149204.81576,13402315.3054,30124776.189,5021398.83161,22741811.8695,3233339.35823,6287847.35767,4508571.36797,,,6751450.30447
2024,195763.647394,4537315.03907,10376948.6531,18533324.9461,600085.278234,1387018.38663,87323423.1804,16002233.3008,762782.119079,1731692.89459,34613298.2989,4278668.08102,1707109.14266,1148765.7614,13395296.9643,30107638.3795,5019248.93421,22731854.4978,3227738.33665,6286291.51834,4507015.52864,,,6745394.9451
2025,200175.222547,4534812.37482,10372469.7546,18522879.0432,597618.521777,1386278.4685,87258571.5329,15978294.7732,761600.426308,1731029.06981,34599973.2439,4269266.76836,1706486.80693,1148180.35559,13385939.1763,30084787.9668,5016382.40434,22718578.0022,3220270.30787,6284217.06591,4504941.07621,,,6737321.13261
2026,205138.244594,4531996.87754,10367430.9938,18511127.4024,594843.420762,1385446.06061,87185613.4294,15951363.9296,760271.02194,1730282.26693,34584982.5571,4258690.29162,1705786.67923,1147521.77406,13375411.6647,30059081.2525,5013157.55824,22703641.9447,3211868.7755,6281883.30691,4502607.31722,,,6728238.09356
2027,209549.819746,4529494.21329,10362952.0953,18500681.4994,592376.664304,1384706.14248,87120761.7819,15927425.402,759089.329168,1729618.44215,34571657.5022,4249288.97896,1705164.3435,1146936.36824,13366053.8766,30036230.8397,5010291.02837,22690365.4491,3204400.74673,6279808.85448,4500532.86478,,,6720164.28107
2028,212858.501111,4527617.2151,10359592.9214,18492847.0722,590526.596961,1384151.20389,87072123.0463,15909471.5063,758203.05959,1729120.57356,34561663.7109,4242237.99447,1704697.5917,1146497.31389,13359035.5356,30019093.0302,5008141.13097,22680408.0774,3198799.72515,6278253.01515,4498977.02545,,,6714108.9217
2029,217821.523157,4524801.71782,10354554.1606,18481095.4314,587751.495946,1383318.796,86999164.9429,15882540.6628,756873.655222,1728373.77069,34546673.0241,4231661.51773,1703997.464,1145838.73235,13348508.024,29993386.3159,5004916.28487,22665472.0199,3190398.19278,6275919.25616,4496643.26646,,,6705025.88265
2030,220578.757628,4523237.55266,10351754.849,18474566.742,586209.773159,1382856.34717,86958632.6632,15867579.083,756135.097239,1727958.8802,34538344.8648,4225785.69732,1703608.50417,1145472.85372,13342659.4065,29979104.808,5003124.7037,22657174.2101,3185730.6748,6274622.72339,4495346.73369,,,6699979.74984
