year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,403762.169034,298784.005085
2018,403762.169034,298784.005085
2019,403762.169034,298784.005085
2020,403762.169034,298784.005085
2021,403762.169034,298784.005085
2022,403762.169034,298784.005085
2023,403762.169034,298784.005085
2024,403762.169034,298784.005085
2025,403762.169034,298784.005085
2026,403762.169034,298784.005085
2027,403762.169034,298784.005085
2028,403762.169034,298784.005085
2029,403762.169034,298784.005085
2030,403762.169034,298784.005085
2031,403762.169034,298784.005085
