year,Base case cost,Modeled biomass for heat (cordwood)
2017,1481286.67357,1695984.52331
2018,1622603.37357,1794975.14695
2019,1816409.13357,1932905.87693
2020,1913312.01357,1999311.11211
2021,1977913.93357,2041955.50341
2022,2026365.37357,2072778.06948
2023,2062703.95357,2094761.47118
2024,2090967.29357,2110888.43533
2025,2123268.25357,2130112.70338
2026,2167682.07357,2158402.60457
2027,2204020.65357,2180828.20379
2028,2232283.99357,2197387.00146
2029,2272660.19357,2223003.93215
2030,2292848.29357,2233792.81119
2031,2337262.11357,2262591.53692
2032,,
2033,,
2034,,
2035,,
2036,,
