year,Base case diesel consumed,Modeled residential ashp
2017,282758.632834,42393.8916747
2018,280114.348206,39749.6070471
2019,280114.348206,39749.6070471
2020,278792.205893,38427.4647333
2021,277470.063579,37105.3224195
2022,274825.778951,34461.037792
2023,272181.494324,31816.7531644
2024,269537.209696,29172.4685368
2025,266892.925069,26528.1839093
2026,264248.640441,23883.8992817
2027,261604.355813,21239.6146541
2028,258960.071186,18595.3300266
2029,256315.786558,15951.045399
2030,254993.644244,14628.9030852
2031,252349.359617,11984.6184577
