year,Base case cost,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,269190.200057,709885.029093,711862.866869,1510926.53338,1317467.78926
2022,277845.569074,708575.961179,711080.806447,1490193.11391,1301582.74537
2023,284496.428639,705684.540328,708629.56276,1468848.32463,1284827.432
2024,290263.982391,702222.889711,705562.459542,1447610.32985,1268002.47154
2025,296301.74108,699235.558648,702965.244098,1427229.94355,1251941.08123
2026,304017.266838,697917.199167,702114.855585,1408323.7601,1237422.35249
2027,311088.11886,696252.887885,700873.197167,1389721.6948,1223037.91343
2028,317267.58829,693991.353304,698989.096411,1371163.90834,1208530.02683
2029,324439.767163,692804.106625,698216.344498,1353744.47258,1195155.10991
2030,329758.69261,690153.022688,695893.635861,1335770.70248,1180982.04288
2031,337985.258139,690274.430688,696462.850095,1320048.26278,1169219.1806
2032,346009.169967,690366.076693,696998.548471,1304620.71926,1157671.56096
2033,354084.479472,690677.959745,697750.818019,1289730.46141,1146583.44045
2034,362211.186655,691206.123188,698715.787988,1275366.10273,1135945.25543
2035,368723.27249,690488.809423,698349.601435,1260627.7027,1124698.55288
2036,377927.128159,692308.320138,700640.100136,1247867.79017,1115598.33303
2037,383555.908179,691122.566634,699757.633994,1233529.11722,1104528.01995
2038,392868.433225,693354.265158,702453.730447,1221751.34313,1096270.10353
2039,400263.09062,694022.667296,703501.167609,1209254.34337,1087065.19919
2040,409685.753548,696653.961808,706590.575273,1198419.71325,1079617.0695
2041,410898.738755,692047.744763,702110.705989,1182886.12694,1066764.46758
2042,412414.970263,687881.161436,698067.50915,1168048.2843,1054544.77382
2043,413931.201772,683847.769383,694154.611708,1153593.74115,1042647.01654
2044,415144.186978,679641.200282,690065.713126,1139210.26659,1030760.40321
2045,416660.418486,675864.898385,686404.323843,1125495.58064,1019484.05825
2046,417873.403693,671909.393713,682561.038526,1111834.62236,1008204.29246
2047,419086.3889,668075.025719,678836.259742,1098522.27271,997217.325996
2048,420299.374106,664358.954936,675227.209674,1085550.36021,986516.295586
2049,421512.359313,660758.408829,671731.175986,1072910.90604,976094.499738
2050,422725.34452,657270.68,668345.510062,1060596.11882,965945.394403
