year,Base case diesel consumed,Elim (quiktalik creek),Elim (creek at elim) -- unnamed creek,Elim (peterson creek),"Golovin (kwiniuk river, west tributary)"
2021,91561.2925364,80017.8237315,84576.0139775,48454.8105495,57345.2670533
2022,92001.8440642,80458.3752593,85016.5655054,48895.3620774,57785.8185811
2023,92368.9703374,80825.5015325,85383.6917786,49262.4883506,58152.9448543
2024,92736.0966106,81192.6278057,85750.8180518,49629.6146238,58520.0711275
2025,93176.6481384,81633.1793336,86191.3695796,50070.1661516,58960.6226553
2026,93543.7744116,82000.3056068,86558.4958528,50437.2924248,59327.7489285
2027,93984.3259395,82440.8571346,86999.0473807,50877.8439527,59768.3004564
2028,94424.8774673,82881.4086625,87439.5989085,51318.3954805,60208.8519842
2029,94865.4289952,83321.9601903,87880.1504363,51758.9470083,60649.4035121
2030,95305.980523,83762.5117182,88320.7019642,52199.4985362,61089.9550399
2031,95746.5320508,84203.063246,88761.253492,52640.050064,61530.5065678
2032,96113.6583241,84570.1895192,89128.3797652,53007.1763372,61897.632841
2033,96480.7845973,84937.3157924,89495.5060384,53374.3026104,62264.7591142
2034,96847.9108705,85304.4420656,89862.6323116,53741.4288836,62631.8853874
2035,97288.4623983,85744.9935934,90303.1838395,54181.9804115,63072.4369152
2036,97655.5886715,86112.1198666,90670.3101127,54549.1066847,63439.5631884
2037,98096.1401993,86552.6713945,91110.8616405,54989.6582125,63880.1147162
2038,98463.2664725,86919.7976677,91477.9879137,55356.7844857,64247.2409894
2039,98830.3927457,87286.9239409,91845.1141869,55723.9107589,64614.3672626
2040,99197.5190189,87654.0502141,92212.2404601,56091.0370321,64981.4935358
2041,99491.2200375,87947.7512326,92505.9414787,56384.7380507,65275.1945544
2042,99858.3463107,88314.8775059,92873.0677519,56751.8643239,65642.3208276
2043,100225.472584,88682.0037791,93240.1940251,57118.9905971,66009.4471008
2044,100519.173602,88975.7047976,93533.8950436,57412.6916156,66303.1481194
2045,100886.299876,89342.8310708,93901.0213168,57779.8178888,66670.2743926
2046,101180.000894,89636.5320894,94194.7223354,58073.5189074,66963.9754111
2047,101473.701913,89930.2331079,94488.423354,58367.219926,67257.6764297
2048,101767.402931,90223.9341265,94782.1243725,58660.9209445,67551.3774483
2049,102061.10395,90517.6351451,95075.8253911,58954.6219631,67845.0784668
2050,102354.804968,90811.3361636,95369.5264096,59248.3229816,68138.7794854
