year,Base case cost,Modeled solar power (pv)
2016,156891.412852,167878.780703
2017,187240.273353,197412.853443
2018,210600.518117,220103.239206
2019,242508.196773,251209.911941
2020,258079.490525,266281.925713
2021,269190.200057,276982.730888
2022,277845.569074,285284.154901
2023,284496.428639,291620.183275
2024,290263.982391,297095.693125
2025,296301.74108,302848.377513
2026,304017.266838,310255.315364
2027,311088.11886,317039.771023
2028,317267.58829,322954.52083
2029,324439.767163,329853.544911
2030,329758.69261,334935.148483
2031,337985.258139,342886.542954
2032,346009.169967,350641.703264
2033,354084.479472,358454.543164
2034,362211.186655,366324.928064
2035,368723.27249,372614.920593
