year,Base case cost,Elim wind feasibility,Modeled wind power
2019,242508.196773,382341.017623,414161.174561
2020,258079.490525,390781.245184,421823.960366
2021,269190.200057,395860.531828,426191.770997
2022,277845.569074,399178.729063,428843.475386
2023,284496.428639,400982.949704,430015.534803
2024,290263.982391,402190.727688,430614.839247
2025,296301.74108,403751.952612,431580.641992
2026,304017.266838,406668.9886,433894.355034
2027,311088.11886,409222.360117,435867.173469
2028,317267.58829,411163.497569,437250.235962
2029,324439.767163,413971.429269,439501.639751
2030,329758.69261,415403.288235,440409.208966
2031,337985.258139,419210.117635,443672.099507
2032,346009.169967,422884.802012,446813.899949
2033,354084.479472,426679.740121,450086.749938
2034,362211.186655,430593.318359,453488.782877
2035,368723.27249,433361.188605,455776.049762
2036,377927.128159,438280.085341,460193.428168
2037,383555.908179,440493.024929,461955.960669
2038,392868.433225,445644.371899,466625.196681
