year,Base case diesel consumed,Modeled solar power (pv)
2016,89652.2359157,88008.9902587
2017,90019.3621889,88389.2624972
2018,90386.4884621,88769.4295679
2019,90827.03999,89222.9175669
2020,91194.1662632,89602.8768195
2021,91561.2925364,89982.7334082
2022,92001.8440642,90435.9134091
2023,92368.9703374,90815.5671275
2024,92736.0966106,91195.1206264
2025,93176.6481384,91647.9999621
2026,93543.7744116,92027.3554207
2027,93984.3259395,92480.0383005
2028,94424.8774673,92932.6241295
2029,94865.4289952,93385.113684
2030,95305.980523,93837.5077343
2031,95746.5320508,94289.8070445
2032,96113.6583241,94668.5871177
2033,96480.7845973,95047.2739606
2034,96847.9108705,95425.8683189
2035,97288.4623983,95877.7961871
