year,Base case cost,Modeled non-residential energy efficiency
2017,422832.985599,410540.358859
2018,446326.452114,431820.268583
2019,476532.337632,459180.152514
2020,490628.417541,471948.098348
2021,500697.046047,481068.059659
2022,507409.465052,487148.033866
2023,512779.400255,492012.013231
2024,516806.851657,495659.997755
2025,521505.54496,499915.9797
2026,527546.722064,505387.956486
2027,532245.415367,509643.938431
2028,536272.86677,513291.922955
2029,541642.801973,518155.902321
2030,544999.011475,521195.889424
2031,550368.946678,526059.86879
