year,Base case diesel consumed,Modeled residential ashp
2017,62777.0187474,35210.6545565
2018,62777.0187474,35210.6545565
2019,62777.0187474,35210.6545565
2020,62777.0187474,35210.6545565
2021,62777.0187474,35210.6545565
2022,62777.0187474,35210.6545565
2023,62777.0187474,35210.6545565
2024,64361.0306304,36794.6664396
2025,64361.0306304,36794.6664396
2026,64361.0306304,36794.6664396
2027,64361.0306304,36794.6664396
2028,64361.0306304,36794.6664396
2029,64361.0306304,36794.6664396
2030,65945.0425135,38378.6783226
2031,65945.0425135,38378.6783226
