year,Base case cost,Modeled biomass for heat (cordwood)
2017,298795.16735,332641.980826
2018,321798.56735,349651.053392
2019,351922.06735,371924.838895
2020,366162.26735,382454.264769
2021,376020.86735,389743.867297
2022,383140.96735,395008.580234
2023,388617.96735,399058.359417
2024,392451.86735,401893.204844
2025,397381.16735,405538.006108
2026,403405.86735,409992.763209
2027,408335.16735,413637.564473
2028,412716.76735,416877.387819
2029,418193.76735,420927.167001
2030,421479.96735,423357.034511
2031,427504.66735,427811.791611
2032,,
2033,,
2034,,
2035,,
2036,,
