year,Base case diesel consumed,Modeled non-residential ashp
2017,54769.8117949,38338.8682236
2018,54769.8117949,38338.8682236
2019,54769.8117949,38338.8682236
2020,54769.8117949,38338.8682236
2021,54769.8117949,38338.8682236
2022,54769.8117949,38338.8682236
2023,54769.8117949,38338.8682236
2024,54769.8117949,38338.8682236
2025,54769.8117949,38338.8682236
2026,54769.8117949,38338.8682236
2027,54769.8117949,38338.8682236
2028,54769.8117949,38338.8682236
2029,54769.8117949,38338.8682236
2030,54769.8117949,38338.8682236
2031,54769.8117949,38338.8682236
