year,Base case diesel consumed,Modeled non-residential ashp
2017,72353.29961,50647.309727
2018,72353.29961,50647.309727
2019,72353.29961,50647.309727
2020,72353.29961,50647.309727
2021,72353.29961,50647.309727
2022,72353.29961,50647.309727
2023,72353.29961,50647.309727
2024,72353.29961,50647.309727
2025,72353.29961,50647.309727
2026,72353.29961,50647.309727
2027,72353.29961,50647.309727
2028,72353.29961,50647.309727
2029,72353.29961,50647.309727
2030,72353.29961,50647.309727
2031,72353.29961,50647.309727
