year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,72353.0,51613.3727469
2018,72353.0,51613.3727469
2019,72353.0,51613.3727469
2020,72353.0,51613.3727469
2021,72353.0,51613.3727469
2022,72353.0,51613.3727469
2023,72353.0,51613.3727469
2024,72353.0,51613.3727469
2025,72353.0,51613.3727469
2026,72353.0,51613.3727469
2027,72353.0,51613.3727469
2028,72353.0,51613.3727469
2029,72353.0,51613.3727469
2030,72353.0,51613.3727469
2031,72353.0,51613.3727469
2032,,
2033,,
2034,,
2035,,
2036,,
