year,Base case cost,Modeled biomass for heat (pellet)
2017,193278.248792,229575.186597
2018,216431.208792,246091.465876
2019,248266.528792,268801.349885
2020,263460.658792,279640.158162
2021,273590.078792,286866.030346
2022,282272.438792,293059.635076
2023,287337.148792,296672.571168
2024,292401.858792,300285.507261
2025,297466.568792,303898.443353
2026,303978.338792,308543.6469
2027,309766.578792,312672.71672
2028,314831.288792,316285.652812
2029,321343.058792,320930.856359
2030,324960.708792,323511.524997
2031,332196.008792,328672.862271
2032,,
2033,,
2034,,
2035,,
2036,,
